İlçe,Metrekare,Oda_Sayısı,Binanın_Yaşı,Fiyatı,Site_Icerisinde,Bulundugu_Kat,Kat_Sayisi,Isitma_Tipi,Veri_Kaynagi,Isitma_Skoru,İlçe_Kod,Oda_Metrekare,Yaş_Grup,Metrekare_Log,Oda_Sayisi_Log,Metrekare_x_Oda,Yas_x_Metrekare,İlçe_Gücü,Giris_Kat_Mi,Site_Bonus,Kat_Orani,Ilce_Oda_Key,İlçe_Oda_Gücü
Beşiktaş,125,3.0,1.0,1750000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,40.32258064516129,0,4.836281906951478,1.3862943611198906,375.0,125.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_3,27756909.722222224
Beşiktaş,72,2.0,7.5,2500000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,34.285714285714285,1,4.290459441148391,1.0986122886681098,144.0,540.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_2,14200681.818181818
Beşiktaş,90,3.0,30.0,845000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,29.032258064516128,3,4.51085950651685,1.3862943611198906,270.0,2700.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_3,27756909.722222224
Beşiktaş,85,3.0,10.0,2100000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,27.419354838709676,1,4.454347296253507,1.3862943611198906,255.0,850.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_3,27756909.722222224
Beşiktaş,400,8.0,30.0,32500000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,49.382716049382715,3,5.993961427306569,2.1972245773362196,3200.0,12000.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_8,29345454.545454547
Beşiktaş,320,6.0,30.0,12000000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,52.459016393442624,3,5.771441123130016,1.9459101490553132,1920.0,9600.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_6,42748333.333333336
Beşiktaş,276,4.0,7.5,37500000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,67.31707317073172,1,5.6240175061873385,1.6094379124341003,1104.0,2070.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
Beşiktaş,280,3.0,7.5,8500000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,90.32258064516128,1,5.638354669333745,1.3862943611198906,840.0,2100.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_3,27756909.722222224
Beşiktaş,212,4.0,10.0,18200000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,51.707317073170735,1,5.3612921657094255,1.6094379124341003,848.0,2120.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_4,27622500.0
Beşiktaş,420,6.0,2.0,32900000.0,0.0,3.0,8,Doğalgaz,Emlakjet,1.0,8,68.85245901639345,0,6.042632833682381,1.9459101490553132,2520.0,840.0,29936740.139211137,0,0.0,0.3703703703703704,Beşiktaş_6,42748333.333333336
